country,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,social,products,language,language_en,language_es,language_fr,language_it,gender_M,country_short_list_Denmark,country_short_list_France,country_short_list_Germany,country_short_list_Italy,country_short_list_Netherlands,country_short_list_Other,country_short_list_Spain,country_short_list_Sweden,country_short_list_UK,country_short_list_US
France,1.537183021001202,-0.32459054780791374,-5.199337582605575,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.7406299625378859,1,0,1,0,0.22736495720568323,5.19933758270342,1.438470502172995,-5.199337582605575,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,0.14619489549821815,-0.32459054780791374,0.45195332837796903,0.16908286461285651,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.9849547692118552,5.19933758270342,0.0628326081658751,0.2982254980190218,fr,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
UK,0.551687720243482,-0.32459054780791374,-5.199337582605575,-5.199337582605575,0.3807256772281369,0.29297785546080574,-5.199337582605575,-5.199337582605575,1,0,1,1,1.6839860293406312,5.19933758270342,0.4547368076104847,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
France,-5.199337582605575,-0.32459054780791374,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0,0,0,1,0.8308099722618302,5.19933758270342,-1.489816296027173,-5.199337582605575,fr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
UK,0.9849486421130661,-5.199337582605575,0.45195332837796903,-5.199337582605575,-5.199337582605575,-5.199337582605575,2.250224573980513,2.196500880334908,1,1,0,0,-0.38883962075702416,5.19933758270342,0.22800895530513712,1.7766889284871232,en,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Finland,0.3166581515711474,-0.32459054780791374,-5.199337582605575,0.8582008565819824,0.3807256772281369,5.19933758270342,-5.199337582605575,-5.199337582605575,1,0,1,1,0.0955881268846976,5.19933758270342,0.22800895530513712,-5.199337582605575,en,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hong Kong,-0.35653107332793593,-0.32459054780791374,0.45195332837796903,-5.199337582605575,-5.199337582605575,-5.199337582605575,2.1419295977392188,1.1491333414999843,1,0,1,1,-0.5197950743313933,5.19933758270342,-0.4188158757609385,1.6606317338983716,en,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Netherlands,1.4600054461545797,-0.32459054780791374,1.026599226458071,0.48277075642432826,0.07794003679312468,5.19933758270342,1.3274231757153436,1.5622187161840015,1,0,1,0,0.7591527385676639,1.3775681073731048,1.3647084924885173,1.0351449943728246,en,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Germany,-0.35653107332793593,-0.32459054780791374,-0.12338326650744538,-5.199337582605575,0.07794003679312468,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,1,1,0.37285435604286316,1.3775681073731048,-0.4188158757609385,-0.2177096933638894,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UK,0.9849486421130661,0.7877179162159225,2.0395031080739803,-5.199337582605575,0.7144484853753008,-5.199337582605575,1.588273757582027,1.5052316564617902,1,0,1,1,0.7169709525677784,1.3775681073731048,0.9178117400238887,1.9032815005619805,en,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
