country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list
France,fr,31,8,0,1,1,0.0,0,1,F,True,False,True,False,127,3205,France
France,fr,7,8,6,1,1,0.0,0,0,F,True,False,True,True,485,3205,France
UK,en,10,8,0,0,3,66.0,0,0,F,True,False,True,True,665,3205,UK
France,fr,3,8,0,0,1,0.0,0,0,M,False,False,False,True,405,3205,France
UK,en,16,0,6,0,1,0.0,303,32,M,True,True,False,False,20,3205,UK
Finland,en,8,8,0,4,3,100.0,0,0,F,True,False,True,True,82,3205,Other
Hong Kong,en,5,8,6,0,1,0.0,223,3,M,True,False,True,True,16,3205,Other
Netherlands,en,29,8,33,2,2,100.0,17,8,F,True,False,True,False,377,3204,Netherlands
Germany,en,5,8,1,0,2,0.0,0,0,F,True,False,True,True,192,3204,Germany
UK,en,16,9,373,0,5,0.0,47,7,F,True,False,True,True,362,3204,UK
Italy,it,26,9,1,3,1,0.0,1,0,F,True,False,True,False,15,3204,Italy
Sweden,en,11,8,23,0,3,100.0,0,0,F,True,False,True,True,87,3204,Sweden
Netherlands,en,6,8,0,5,1,0.0,0,0,F,True,False,True,True,16,3204,Netherlands
France,fr,5,15,3,0,1,0.0,8,1,F,True,True,False,True,166,3204,France
France,fr,3,8,1,0,1,0.0,0,0,M,False,False,False,True,591,3204,France
Italy,it,3,9,7,4,3,66.0,1,0,F,False,False,False,False,23,3203,Italy
France,fr,3,8,0,0,1,0.0,0,0,M,False,False,False,True,27,3203,France
US,en,6,8,0,0,1,0.0,0,0,F,False,False,False,True,681,3203,US
US,en,7,8,3,2,2,100.0,0,0,M,False,False,False,True,27,3203,US
France,fr,15,8,7,10,4,50.0,0,0,M,True,False,True,True,12,3203,France
US,en,42,16,31,9,11,90.0,3,5,F,True,False,True,False,21,3203,US
US,en,30,8,0,0,1,0.0,0,0,F,True,False,True,False,578,3203,US
US,en,20,8,8,1,1,0.0,0,0,M,True,False,True,False,111,3203,US
US,en,5,8,20,1,1,0.0,0,0,F,True,False,True,True,93,3203,US
France,fr,3,8,1,0,1,0.0,0,0,F,False,False,False,True,707,3203,France
France,fr,5,8,3,1,1,0.0,0,0,M,False,False,False,True,153,3203,France
Italy,it,28,11,12,0,1,0.0,3,57,M,True,False,True,False,11,3203,Italy
France,fr,11,8,48,4,7,100.0,1,2,F,False,False,False,False,11,3203,France
Germany,de,10,14,42,0,1,0.0,5,1,F,True,False,True,True,85,3203,Germany
Australia,en,12,8,13,12,16,100.0,4,0,M,False,False,False,False,24,3203,Other
Germany,en,20,9,0,0,2,0.0,0,0,M,False,False,False,False,298,3203,Germany
France,fr,3,9,38,4,1,0.0,33,3,M,False,False,False,False,16,3203,France
Netherlands,en,10,48,191,0,1,0.0,11,6,F,False,False,False,True,12,3203,Netherlands
Italy,en,6,12,0,0,1,0.0,1,1,M,True,False,True,True,488,3203,Italy
UK,en,16,10,25,1,5,100.0,2,0,M,True,False,True,False,11,3203,UK
France,fr,5,8,2,25,4,75.0,0,0,F,True,False,True,True,11,3203,France
France,fr,3,10,30,0,1,0.0,8,0,F,True,False,True,True,34,3203,France
Spain,en,25,30,410,3,2,100.0,45,2,F,True,False,True,True,11,3203,Spain
UK,en,15,8,0,18,14,100.0,0,0,F,False,False,False,True,29,3203,UK
UK,en,9,8,0,6,8,0.0,0,0,F,False,False,False,True,665,3203,UK
France,fr,3,8,1,0,1,0.0,0,0,F,False,False,False,True,691,3203,France
France,fr,6,8,0,1,4,50.0,0,0,F,True,True,False,True,62,3203,France
France,fr,137,13,60,33,163,94.0,10,3,F,True,False,True,False,11,3203,France
UK,en,4,8,9,0,1,0.0,0,2,F,False,False,False,True,642,3203,UK
Spain,es,4,8,0,1,2,0.0,1,0,F,True,True,False,True,600,3203,Spain
Sweden,en,6,8,2,0,1,0.0,0,0,M,True,False,True,True,188,3203,Sweden
France,fr,24,8,0,0,5,100.0,0,0,F,True,False,True,False,12,3203,France
France,fr,5,11,0,2,1,0.0,0,0,F,False,False,False,True,540,3203,France
France,fr,4,9,0,3,2,100.0,3,1,F,False,False,False,True,31,3203,France
Spain,es,25,8,0,0,2,0.0,0,0,F,True,False,True,False,695,3203,Spain
Chypre,en,4,8,8,0,1,0.0,1,0,F,True,False,True,True,29,3203,Other
France,it,7,8,1,2,12,83.0,0,1,M,True,False,True,False,14,3203,France
France,en,4,9,123,1,1,0.0,0,1,M,False,False,False,True,28,3203,France
UK,en,21,8,17,0,2,100.0,1,0,F,True,True,False,False,455,3203,UK
Netherlands,en,71,9,22,0,18,66.0,14,11,F,True,True,False,False,14,3203,Netherlands
Italy,it,6,10,36,5,1,0.0,1,1,M,False,False,False,True,11,3203,Italy
Italy,it,25,8,1,0,4,75.0,0,0,M,False,False,False,False,12,3203,Italy
France,fr,6,8,0,0,1,0.0,0,0,F,True,False,True,True,612,3203,France
France,en,3,8,0,2,1,0.0,0,0,F,True,False,True,False,217,3203,France
France,fr,21,9,11,19,12,100.0,0,7,F,True,False,True,True,16,3203,France
UK,en,9,8,5,3,1,100.0,1,0,F,False,False,False,True,236,3203,UK
Italy,it,6,8,107,0,1,0.0,3,0,F,True,False,True,True,28,3203,Italy
France,fr,25,8,0,0,2,100.0,0,0,F,True,False,True,False,319,3203,France
France,fr,7,8,0,0,7,100.0,0,0,M,True,False,True,True,11,3203,France
Italy,it,7,8,1,0,1,0.0,0,0,F,True,False,True,True,666,3203,Italy
Italy,it,4,9,334,0,2,0.0,1,4,M,True,True,False,False,34,3203,Italy
UK,en,7,8,0,0,3,66.0,0,0,F,False,False,False,True,61,3203,UK
Spain,es,4,13,142,0,1,0.0,2,6,F,True,False,True,True,11,3203,Spain
France,fr,4,8,26,0,1,0.0,1,0,M,False,False,False,False,233,3203,France
France,fr,3,9,0,1,1,0.0,0,0,F,True,False,True,True,76,3203,France
Chypre,en,30,8,0,7,4,100.0,0,0,F,True,False,True,False,17,3203,Other
Germany,de,8,8,475,1,1,0.0,11,10,F,True,False,True,True,11,3203,Germany
Italy,it,26,8,0,3,5,40.0,0,0,F,True,False,True,False,271,3203,Italy
Germany,de,40,9,51,1,6,0.0,7,33,F,True,True,False,False,14,3203,Germany
UK,en,11,8,0,1,2,0.0,0,0,F,True,False,True,True,419,3203,UK
UK,en,42,8,0,55,54,100.0,0,0,F,False,False,False,True,23,3203,UK
UK,en,5,8,0,0,1,0.0,0,0,F,False,False,False,True,54,3203,UK
France,fr,23,8,0,0,4,100.0,0,0,F,True,False,True,False,367,3203,France
France,fr,3,8,0,0,1,0.0,0,0,F,False,False,False,True,380,3203,France
Italy,it,25,8,0,0,4,100.0,0,0,F,True,False,True,False,147,3203,Italy
UK,en,6,8,14,1,1,0.0,11,1,F,True,False,True,True,11,3203,UK
Germany,de,7,8,0,0,1,0.0,0,0,M,True,False,True,True,654,3203,Germany
France,fr,3,8,0,0,2,100.0,0,0,F,True,True,False,True,534,3203,France
Italy,en,44,8,14,0,18,78.0,9,3,F,True,False,True,False,61,3203,Italy
France,fr,4,8,51,2,2,100.0,27,1,F,False,False,False,False,17,3203,France
France,en,7,8,2,8,4,75.0,1,0,F,False,False,False,True,21,3203,France
France,fr,17,8,5,1,4,100.0,0,0,F,True,False,True,True,53,3203,France
France,fr,4,8,0,0,3,100.0,0,0,F,False,False,False,True,610,3203,France
France,fr,6,8,0,0,1,0.0,0,0,F,True,False,True,True,657,3203,France
US,en,9,8,808,3,1,0.0,5,16,F,False,False,False,True,13,3203,US
