socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,social,products,country,daysSinceLastLogin,x,y,kmeans,spectral,aggl
31,8,0,1,1,0.0,0,1,39,0,France,127,0.2206535554447367,0.42797712672265886,1,3,0
7,8,6,1,1,0.0,0,0,15,6,France,485,0.11828655069799329,-0.3423432974834539,3,0,2
10,8,0,0,3,66.0,0,0,18,0,UK,665,0.5306935507133671,1.303514439109882,2,3,0
3,8,0,0,1,0.0,0,0,11,0,France,405,1.8211872325051162,-0.5087243978983337,1,3,3
16,0,6,0,1,0.0,303,32,16,309,UK,20,0.12392511510043193,-1.5143377242073035,3,2,2
8,8,0,4,3,100.0,0,0,16,0,Finland,82,0.18658635434823742,1.920554290974352,2,3,0
5,8,6,0,1,0.0,223,3,13,229,Hong Kong,16,-0.3093130037344521,-1.9877613394887381,3,0,2
29,8,33,2,2,100.0,17,8,37,50,Netherlands,377,-1.6010977364637862,0.08429624163822214,0,0,1
5,8,1,0,2,0.0,0,0,13,1,Germany,192,0.28090550359648103,-0.14637416346417056,3,0,2
16,9,373,0,5,0.0,47,7,25,420,UK,362,-1.2540254256566565,-1.2476848314395526,0,0,1
26,9,1,3,1,0.0,1,0,35,2,Italy,15,-0.6642096762950999,-0.4527867883851335,3,0,2
11,8,23,0,3,100.0,0,0,19,23,Sweden,87,-0.4545249676859688,0.6935319864866241,2,0,1
6,8,0,5,1,0.0,0,0,14,0,Netherlands,16,0.8930755217867159,0.5476913776895764,1,3,0
5,15,3,0,1,0.0,8,1,20,11,France,166,-0.6270988905207142,-1.7132894472980231,3,0,2
3,8,1,0,1,0.0,0,0,11,1,France,591,1.1451057199666888,-1.3217155607992037,3,0,3
3,9,7,4,3,66.0,1,0,12,8,Italy,23,-0.26411404563186086,-0.5576212537320139,3,0,3
3,8,0,0,1,0.0,0,0,11,0,France,27,1.8211872325051162,-0.5087243978983337,1,3,3
6,8,0,0,1,0.0,0,0,14,0,US,681,1.1552922511386405,0.2014957695955509,1,3,0
7,8,3,2,2,100.0,0,0,15,3,US,27,-0.4568871281124744,0.9588112034297437,2,0,1
15,8,7,10,4,50.0,0,0,23,7,France,12,-0.6120988316265751,0.8702091113339395,2,0,1
42,16,31,9,11,90.0,3,5,58,34,US,21,-1.9016000381554765,-0.035467275727857024,0,0,1
30,8,0,0,1,0.0,0,0,38,0,US,578,0.725380003113634,0.6056067220600782,1,3,0
20,8,8,1,1,0.0,0,0,28,8,US,111,-0.1633006315491042,-0.10353647806255446,3,0,2
5,8,20,1,1,0.0,0,0,13,20,US,93,0.2004241812892282,-0.5312821851740509,3,0,2
3,8,1,0,1,0.0,0,0,11,1,France,707,1.1451057199666888,-1.3217155607992037,3,0,3
5,8,3,1,1,0.0,0,0,13,3,France,153,0.28080513455466344,-0.43464540632237936,3,0,2
28,11,12,0,1,0.0,3,57,39,15,Italy,11,-0.9744077878992342,-1.5483685874022208,0,0,2
11,8,48,4,7,100.0,1,2,19,49,France,11,-1.3722041857289313,0.08241180155703479,0,0,1
10,14,42,0,1,0.0,5,1,24,47,Germany,85,-0.8269861359558653,-1.687908837981955,3,0,2
12,8,13,12,16,100.0,4,0,20,17,Australia,24,-1.1325754720289545,0.7434628921128035,0,0,1
20,9,0,0,2,0.0,0,0,29,0,Germany,298,0.380774234259905,0.973843291559788,1,3,0
